HIPERMERCADO SORIANA,-115.469582,32.641719
WAL-MART,-116.606337,31.859079
SUPER MERCADO ARAMBURO,-110.311974,24.135925
TORTILLERIAS TRADICIONALES,-102.501312,22.759129
TORTILLERIAS TRADICIONALES,-102.546902,22.763516
TORTILLERIAS TRADICIONALES,-102.518679,22.752433
TORTILLERIAS TRADICIONALES,-89.620156,20.962902
TORTILLERIAS TRADICIONALES,-89.637507,20.965607
TORTILLERIAS TRADICIONALES,-89.637607,20.951909
MEGA COMERCIAL MEXICANA,-89.622778,20.997830
HIPERMERCADO SORIANA,-99.513434,27.458949
SORIANA,-98.221111,19.317130
TORTILLERIAS TRADICIONALES,-98.240369,19.317082
TORTILLERIAS TRADICIONALES,-89.626484,20.981348
TORTILLERIAS TRADICIONALES,-110.999687,29.142288
TORTILLERIAS TRADICIONALES,-92.932773,17.992805
TORTILLERIAS TRADICIONALES,-108.466538,25.566398
SUPER LEY,-110.938367,31.291542
MEGA COMERCIAL MEXICANA,-86.956948,20.505481
DISTRIBUIDORA EL FLORIDO,-116.603533,31.840050
SORIANA,-110.311812,24.125121
CHEDRAUI,-96.134770,19.190629
WAL-MART,-89.617292,20.986878
HIPERMERCADO SORIANA,-110.945760,31.290525
SORIANA,-110.968837,29.069109
LEY EXPRESS,-109.512407,31.327646
BODEGA AURRERA,-114.763224,32.478084
CALIMAX,-114.779069,32.476434
WAL-MART,-87.076585,20.629611
WAL-MART,-101.002616,22.138927
SUPERMERCADOS SANTA FE,-108.459920,25.559436
SORIANA SUPER,-104.903769,21.501430
FARMACIA GUADALAJARA,-100.313448,25.683003
BODEGA AURRERA,-96.730589,17.045399
SORIANA,-100.373224,20.587660
MEGA COMERCIAL MEXICANA,-103.429632,20.676087
CHEDRAUI,-99.634817,19.310981
SORIANA SUPER,-101.019770,22.125627
MEGA COMERCIAL MEXICANA,-107.365007,24.816052
WAL-MART,-86.833802,21.154958
TORTILLERIAS TRADICIONALES,-86.830359,21.177089
TORTILLERIAS TRADICIONALES,-86.830536,21.177066
TORTILLERIAS TRADICIONALES,-86.825166,21.175248
TORTILLERIAS TRADICIONALES,-98.210467,19.061626
TORTILLERIAS TRADICIONALES,-98.216915,19.038998
TORTILLERIAS TRADICIONALES,-100.376487,20.589836
TORTILLERIAS TRADICIONALES,-100.376592,20.590178
TORTILLERIAS TRADICIONALES,-96.694230,17.056410
TORTILLERIAS TRADICIONALES,-98.211830,19.083338
SUPERAMA,-98.224856,19.033539
TORTILLERIAS TRADICIONALES,-96.727256,17.058780
SORIANA,-100.340153,25.705878
TORTILLERIAS TRADICIONALES,-100.375219,25.726812
TORTILLERIAS TRADICIONALES,-100.287927,25.627276
TORTILLERIAS TRADICIONALES,-101.171953,19.700067
WAL-MART,-101.219963,19.679384
MEGA COMERCIAL MEXICANA,-99.232116,18.933115
SUMESA,-99.216744,18.940941
SORIANA,-99.128083,19.294061
WAL-MART,-102.297692,21.922922
SUPERAMA,-102.317444,21.924674
MERCADO SORIANA,-116.963882,32.501148
WAL-MART,-99.124237,19.292431
MEGA COMERCIAL MEXICANA,-99.122765,19.373897
SORIANA,-99.210757,19.663460
BODEGA AURRERA EXPRESS,-99.033324,19.522554
SUPER CHEDRAUI,-99.027345,19.534130
WAL-MART,-99.232299,19.515342
SUPERAMA,-99.155107,19.295714
WAL-MART,-99.079949,19.382510
CHEDRAUI,-99.809227,16.862104
SORIANA,-103.423083,20.654310
BODEGA AURRERA,-99.028912,19.530151
TORTILLERIAS TRADICIONALES,-101.183267,19.706082
TORTILLERIAS TRADICIONALES,-101.185960,19.705713
TORTILLERIAS TRADICIONALES,-101.174812,19.699213
TORTILLERIAS TRADICIONALES,-99.651564,19.293699
SORIANA,-99.190592,19.601616
MERCADO SORIANA,-99.023802,19.558491
BODEGA AURRERA,-99.025819,19.558407
MERCADO SORIANA,-99.019634,19.551690
TORTILLERIAS TRADICIONALES,-99.217186,19.676737
SUPERAMA,-99.121912,19.368986
SORIANA,-99.122330,19.359962
WAL-MART,-99.027852,19.532646
SUPERAMA,-99.136776,19.297648
TORTILLERIAS TRADICIONALES,-99.056162,19.424012
TORTILLERIAS TRADICIONALES,-99.105381,19.396063
TORTILLERIAS TRADICIONALES,-99.119797,19.278185
TORTILLERIAS TRADICIONALES,-99.121888,19.278971
BODEGA AURRERA,-99.101768,19.380448
SUPERAMA,-99.171176,19.411468
MEGA COMERCIAL MEXICANA,-99.206653,19.647680
HIPERMERCADO SORIANA,-115.469582,32.641719
WAL-MART,-116.606337,31.859079
SMART & FINAL DEL NOROESTE,-115.471600,32.649350
SUPER MERCADO ARAMBURO,-110.311974,24.135925
HIPERMERCADO SORIANA,-99.513434,27.458949
SORIANA,-98.221111,19.317130
MEGA COMERCIAL MEXICANA,-89.622778,20.997830
SUPER LEY,-110.938367,31.291542
WAL-MART,-86.833802,21.154958
MEGA COMERCIAL MEXICANA,-86.956948,20.505481
MEGA COMERCIAL MEXICANA,-107.365007,24.816052
SORIANA,-100.340153,25.705878
SUPERAMA,-98.224856,19.033539
SUPER LILI,-101.182936,19.706152
MERCADO SORIANA,-99.023802,19.558491
BODEGA AURRERA,-99.025819,19.558407
WAL-MART,-99.027852,19.532646
MERCADO SORIANA,-99.019634,19.551690
SORIANA,-99.190592,19.601616
SUPERAMA,-99.136776,19.297648
SUPERAMA,-99.121912,19.368986
SORIANA,-99.122330,19.359962
BODEGA AURRERA,-99.116357,19.267356
BODEGA AURRERA,-99.101768,19.380448
SUPERAMA,-99.171176,19.411468
MEGA COMERCIAL MEXICANA,-99.206653,19.647680
WAL-MART,-98.758178,20.094526
WAL-MART,-103.429244,20.678954
MERKABASTOS,-103.435851,20.631208
SORIANA,-101.660872,21.107162
HIPERMERCADO SORIANA,-103.505483,25.555028
WAL-MART,-103.720523,19.257428
HIPERMERCADO SORIANA,-93.081601,16.747273
HIPERMERCADO SORIANA,-101.003065,25.435185
BODEGA AURRERA,-104.415266,29.553888
CHEDRAUI,-104.661718,24.011236
BODEGA AURRERA,-101.659225,21.132543
FARMACIA GUADALAJARA,-101.685945,21.124324
HIPERMERCADO SORIANA,-99.890270,16.858598
BODEGA AURRERA,-93.121102,16.754378
BODEGA AURRERA,-106.389823,31.659331
WAL-MART,-106.393285,31.633608
WAL-MART,-109.916942,22.890285
BODEGA AURRERA,-90.534630,19.826717
HIPERMERCADO SORIANA,-91.805009,18.650149
SUPER GURIERREZ,-100.555588,28.695849
WAL-MART,-109.916942,22.890285
BODEGA AURRERA,-90.534630,19.826717
SUPER GURIERREZ,-100.555588,28.695849
SUPERMERCADOS SANTA FE,-108.459920,25.559436
BODEGA AURRERA,-114.763224,32.478084
CHEDRAUI,-96.134770,19.190629
SUPER GURIERREZ,-100.517415,28.697279
HIPERMERCADO SORIANA,-115.469582,32.641719
WAL-MART,-116.606337,31.859079
SUPER GURIERREZ,-100.517415,28.697279
WAL-MART,-86.833802,21.154958
SORIANA SUPER,-101.019770,22.125627
SORIANA,-99.190592,19.601616
MERCADO SORIANA,-99.023802,19.558491
BODEGA AURRERA,-99.025819,19.558407
WAL-MART,-99.027852,19.532646
MERCADO SORIANA,-99.019634,19.551690
SUPERAMA,-99.171176,19.411468
MEGA COMERCIAL MEXICANA,-99.206653,19.647680
BODEGA AURRERA,-99.125610,19.291641
WAL-MART,-103.429244,20.678954
FARMACIA GUADALAJARA,-103.414178,20.635191
BODEGA AURRERA,-99.116357,19.267356
BODEGA AURRERA,-99.101768,19.380448
WAL-MART,-103.720523,19.257428
HIPERMERCADO SORIANA,-115.469582,32.641719
WAL-MART,-116.606337,31.859079
SUPER MERCADO ARAMBURO,-110.311974,24.135925
MEGA COMERCIAL MEXICANA,-89.622778,20.997830
BODEGA AURRERA,-99.125610,19.291641
TORTILLERIAS TRADICIONALES,-99.206418,19.675005
MERKABASTOS,-103.435851,20.631208
BODEGA AURRERA,-99.206484,19.654503
BODEGA AURRERA,-99.116357,19.267356
TORTILLERIAS TRADICIONALES,-103.427870,20.646007
TORTILLERIAS TRADICIONALES,-98.730175,20.128085
TORTILLERIAS TRADICIONALES,-98.730374,20.124272
WAL-MART,-103.429244,20.678954
SORIANA,-101.660872,21.107162
HIPERMERCADO SORIANA,-93.081601,16.747273
SUPER GURIERREZ,-100.517415,28.697279
HIPERMERCADO SORIANA,-103.505483,25.555028
WAL-MART,-89.617292,20.986878
SORIANA SUPER,-102.538029,22.758666
BODEGA AURRERA,-96.730589,17.045399
DISTRIBUIDORA EL FLORIDO,-116.603533,31.840050
SORIANA,-110.311812,24.125121
WAL-MART,-109.916942,22.890285
TORTILLERIAS TRADICIONALES,-102.498847,22.755001
WAL-MART,-89.617292,20.986878
SORIANA SUPER,-102.538029,22.758666
CHEDRAUI,-96.134770,19.190629
TORTILLERIAS TRADICIONALES,-89.628847,20.977604
BODEGA AURRERA,-114.763224,32.478084
CALIMAX,-114.779069,32.476434
WAL-MART,-92.925282,18.000933
TORTILLERIAS TRADICIONALES,-92.926060,18.026210
TORTILLERIAS TRADICIONALES,-108.462919,25.561817
SORIANA,-110.968837,29.069109
TORTILLERIAS TRADICIONALES,-110.974429,29.111605
WAL-MART,-103.720523,19.257428